Date,Not indexed,Indexed,Impressions
2025-11-22,971,158,58394
2025-11-23,1060,159,66829
2025-11-24,1060,159,65250
2025-11-25,1060,159,65607
2025-11-26,1060,159,65679
2025-11-27,1060,159,72402
2025-11-28,1060,159,102073
2025-11-29,1060,159,77823
2025-11-30,1060,159,76832
2025-12-01,1060,159,84838
2025-12-02,1060,159,66308
2025-12-03,1060,159,61953
2025-12-04,1060,159,63341
2025-12-05,1060,159,63509
2025-12-06,1060,159,68861
2025-12-07,1060,159,78327
2025-12-08,1060,159,73609
2025-12-09,1060,159,70811
2025-12-10,1060,159,74028
2025-12-11,1060,159,77209
2025-12-12,1060,159,79231
2025-12-13,1060,159,84517
2025-12-14,1060,159,84070
2025-12-15,1060,159,83049
2025-12-16,1053,159,79909
2025-12-17,1053,159,69370
2025-12-18,1053,159,67855
2025-12-19,1053,159,68132
2025-12-20,1053,159,71057
2025-12-21,1053,159,72615
2025-12-22,1053,159,74796
2025-12-23,1053,159,75627
2025-12-24,1078,161,71625
2025-12-25,1078,161,97848
2025-12-26,1078,161,87430
2025-12-27,1078,161,77257
2025-12-28,1078,161,70842
2025-12-29,1078,161,69847
2025-12-30,1078,161,63886
2025-12-31,1078,161,61535
2026-01-01,1078,161,63016
2026-01-02,1078,161,72221
2026-01-03,1078,161,62783
2026-01-04,1102,162,67661
2026-01-05,1102,162,63621
2026-01-06,1102,162,62198
2026-01-07,1101,162,53647
2026-01-08,1101,162,49777
2026-01-09,1101,162,46176
2026-01-10,1101,162,48148
2026-01-11,1088,162,48401
2026-01-12,1088,162,47453
2026-01-13,1088,162,48354
2026-01-14,1082,162,48013
2026-01-15,1082,162,41428
2026-01-16,1082,162,36075
2026-01-17,1082,162,35953
2026-01-18,1071,162,51731
2026-01-19,1071,162,56108
2026-01-20,1071,162,49967
2026-01-21,1072,162,52396
2026-01-22,1072,162,44493
2026-01-23,1072,162,44423
2026-01-24,1072,162,41183
2026-01-25,1080,162,41626
2026-01-26,1080,162,36048
2026-01-27,1080,162,38940
2026-01-28,1098,162,44161
2026-01-29,1098,162,50693
2026-01-30,1098,162,54619
2026-01-31,1098,162,48798
2026-02-01,1100,162,65911
2026-02-02,1100,162,80908
2026-02-03,1100,162,76268
2026-02-04,1079,162,85881
2026-02-05,1079,162,91623
2026-02-06,1079,162,140115
2026-02-07,1079,162,123323
2026-02-08,1062,162,137952
2026-02-09,1062,162,188024
2026-02-10,1062,162,170763
2026-02-11,1067,162,233992
2026-02-12,1067,162,197202
2026-02-13,1067,162,127941
2026-02-14,1067,162,90150
2026-02-15,1067,162,98506
2026-02-16,1067,162,132764
2026-02-17,1067,162,94230