Name,"Destination URL",Slug,"Categories (separated by semicolons)","Images To Download & Attach (separated by semicolons; jpg/png/gif only)","Geolocations Links (format: AU:http://google.com.au separated by semicolon)","Autolinker Keywords (separated by semicolon)",_ct_builder_shortcodes,_ct_other_template,_ct_template_404_page,_ct_template_all_archives,_ct_template_apply_if_archive_among_authors,_ct_template_apply_if_archive_among_cpt,_ct_template_apply_if_archive_among_taxonomies,_ct_template_apply_if_post_of_parents,_ct_template_archive_among_taxonomies,_ct_template_archive_post_types,_ct_template_archive_post_types_all,_ct_template_authors_archives,_ct_template_authors_archives_all,_ct_template_blog_posts,_ct_template_categories,_ct_template_categories_all,_ct_template_custom_taxonomies,_ct_template_custom_taxonomies_all,_ct_template_date_archive,_ct_template_exclude_ids,_ct_template_front_page,_ct_template_include_ids,_ct_template_index,_ct_template_inner_content,_ct_template_order,_ct_template_post_of_parents,_ct_template_post_types,_ct_template_search_page,_ct_template_single_all,_ct_template_tags,_ct_template_tags_all,_ct_template_taxonomies,_ct_use_template_taxonomies,_oxygen_lock_post_edit_mode,_ta_after_expire_redirect,_ta_autolink_keyword_limit,_ta_before_start_redirect,_ta_category_slug,_ta_category_slug_id,_ta_css_classes,_ta_link_expire_date,_ta_link_start_date,_ta_new_window,_ta_no_follow,_ta_pass_query_str,_ta_redirect_type,_ta_rel_tags,cmplz_hide_cookiebanner,surfer_current_traffic,surfer_post_traffic_archive,surfer_previous_perios_traffic,surfer_traffic_update_date
"Apollo City",https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,apollo-city,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-city-24?sca_ref=9799635.O1zYedtKbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Ninebot Max G3",http://eridehero.com/products/segway-ninebot-max-g3/,ninebot-max-g3,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Vmax VX2 Hub",https://vmax-escooter.us/products/vx2-hub-vmax-electric-scooter?ref=eridehero,vmax-vx2-hub,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway E3 Pro",http://eridehero.com/products/segway-ninebot-e3-pro/,segway-e3-pro,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee GT3",https://naveetechscooter.pxf.io/6yNdgr,navee-gt3,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee GT3 Max",https://naveetechscooter.pxf.io/zxVb2M,navee-gt3-max,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee GT3 Pro",https://naveetechscooter.pxf.io/qzjx2y,navee-gt3-pro,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Navee ST3 Pro YouTube",https://naveetechscooter.pxf.io/c/3099931/2964970/33679?subId1=youtube,navee-st3-pro,"Electric Scooters",,DE:https://amzn.to/41FAPIO;IT:https://amzn.to/4p4T6JH;FR:https://amzn.to/4643pVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo Go",https://apolloscooters.co/products/apollo-go?sca_ref=229283.5uWLRLT8Fu,apollo-go,"Electric Scooters",,GB:https://www.rideandglide.co.uk/product/apollo-go/?ref=eridehero;IE:GB;AT:GB;BE:GB;BG:GB;HR:GB;CY:GB;CZ:GB;DK:GB;EE:GB;FR:GB;FI:GB;DE:GB;GR:GB;GL:GB;IS:GB;IT:GB;LT:GB;LU:GB;LI:GB;MK:GB;MT:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQI 200F",https://shop.niu.com/products/niu-kqi-200f-foldable-handlebar-electric-scooter?ref=eridehero,niu-kqi-200f,"Electric Scooters",,AL:https://shopeu.niu.com/products/niu-kqi-200f-foldable-handlebar-electric-scooter?ref=eridehero;DZ:AL;AD:AL;AM:AL;AT:AL;BY:AL;BE:AL;HR:AL;CY:AL;CZ:AL;DK:AL;EE:AL;FO:AL;FI:AL;FR:AL;GE:AL;DE:AL;GI:AL;GR:AL;GL:AL;GD:AL;HU:AL;IS:AL;IE:AL;IM:AL;IL:AL;IT:AL;LV:AL;LI:AL;LT:AL;LU:AL;MC:AL;MD:AL;NL:AL;NO:AL;PL:AL;PT:AL;RO:AL;SM:AL;RS:AL;SK:AL;SI:AL;ES:AL;SE:AL;CH:AL;TR:AL;UA:AL;GB:AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi 100F",https://shop.niu.com/products/niu-kqi-100f-electric-scooter?ref=eridehero,niu-kqi-100f,"Electric Scooters",,CA:https://shopca.niu.com/collections/kick-scooter/products/niu-kqi-100f-electric-scooter?ref=eridehero;DE:https://shopeu.niu.com/products/niu-kqi-100f-foldable-handlebar-electric-kick-scooter-with-suspension-eu-version?ref=eridehero;GB:DE;IE:DE;AT:DE;DK:DE;SE:DE;NO:DE;PL:DE;ES:DE;FR:DE;CZ:DE;HU:DE;CY:DE;BE:DE;BY:DE;AL:DE;AD:DE;GR:DE;GL:DE;GD:DE;FI:DE;IS:DE;IL:DE;IT:DE;PT:DE;SM:DE;RS:DE;SK:DE;SI:DE;CH:DE;TR:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Kaabo King GTR",https://www.awin1.com/cread.php?awinmid=46107&awinaffid=1982859&ued=https%3A%2F%2Fwww.kaabousa.com%2Fcollections%2Fwolf%2Fproducts%2Fkaabo-king-gtr,kaabo-king-gtr,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"VMAX VX4 GT",https://vmax-escooter.us/products/vx4?variant=47122420760862&ref=eridehero,vmax-vx4-gt,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"KingSong N14",https://myewheel.com/kingsong-n14;tracking;0P5z9xO24UXcWHCk2TNng1ueRS6quvGZUSAdYtO9PjTwbu0INwdBn5OfBsxMeZej/,kingsong-n14,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway GT2",http://eridehero.com/products/segway-gt2/,segway-gt2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Kukirin G4",https://amzn.to/46hFuUt,kukirin-g4,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Hiley Tiger T8 Pro",https://www.hileyrider.com/products/hiley-tiger-t8-pro-dual-motor-electric-scooter?sca_ref=6716078.XMARgN1JaF,hiley-tiger-t8-pro,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"VMAX VX5 Pro GT",https://vmax-escooter.us/products/vx5?variant=48660149567774&ref=eridehero,vmax-vx5-pro-gt,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo City 2024",https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,apollo-city-2024,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-city-24?sca_ref=9799635.O1zYedtKbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Vmax VX2 Extreme",https://vmax-escooter.us/products/vx2-extreme?ref=eridehero,vx2extreme,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Hiboy S2",https://shareasale.com/r.cfm?b=1530041&u=1602267&m=96793&urllink=https://www.hiboy.com/products/s2-electric-scooter-with-seat&variant=36040856567975,hiboys2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo Air",https://apolloscooters.co/products/apollo-air?sca_ref=229283.5uWLRLT8Fu,apolloair,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi 300X",https://shop.niu.com/products/niu-kqi-300x-electric-scooter?ref=eridehero,kqi300x,"Electric Scooters",,AT:https://shopeu.niu.com/products/niu-kqi-300x-electric-scooter?ref=eridehero;BE:AT;BG:AT;HR:AT;CY:AT;CZ:AT;DK:AT;EE:AT;FI:AT;FR:AT;DE:AT;GR:AT;HU:AT;IE:AT;IT:AT;RO:AT;LV:AT;SK:AT;SI:AT;ES:AT;SE:AT;LT:AT;LU:AT;MT:AT;NL:AT;PL:AT;PT:AT;CA:https://shopca.niu.com/collections/kick-scooter/products/niu-kqi-300x-electric-scooter?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Fluid CityRider",http://eridehero.com/products/fluidfreeride-cityrider/,cityrider,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"VMAX VX5",https://vmax-escooter.us/products/vx5?ref=eridehero,vmax-vx5,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"VMAX VX2 Pro",https://vmax-escooter.us/products/vx2-pro?ref=eridehero,vmax-vx2-pro,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Nami Burn E 2 Max",https://fluidfreeride.com/products/nami-burn-e?ref=26,burne2max,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Varla Pegasus",https://varlascooter.com/products/pegasus?sca_ref=3751983.vUFqJUoQDR,varla-pegasus-2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Punk Rider Pro",https://www.speedwayridersnyc.com/shop/punk-rider-pro-electric-scooter/ref/7/,punkrider,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi Air",https://shop.niu.com/products/niu-kqi-air-lightest-electric-scooter?ref=eridehero,kqiair,"Electric Scooters",,AT:https://shopeu.niu.com/products/niu-kqi-air-lightweight-electric-scooter?ref=eridehero;BE:AT;HR:AT;CY:AT;CZ:AT;DK:AT;EE:AT;FI:AT;FR:AT;DE:AT;GR:AT;HU:AT;IE:AT;IT:AT;LV:AT;LT:AT;LU:AT;MT:AT;NL:AT;PL:AT;PT:AT;RO:AT;SK:AT;SI:AT;ES:AT;SE:AT;CA:https://shopca.niu.com/collections/kick-scooter/products/niu-kqi-air-lightest-electric-scooter?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"TurboAnt X7 Max",https://shareasale.com/r.cfm?b=1414176&u=1602267&m=91403&urllink=turboant%2Ecom%2Fproducts%2Fx7%2Dmax%2Dfolding%2Delectric%2Dscooter&afftrack=YouTube,x7max,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"TurboAnt V8",https://shareasale.com/r.cfm?b=1414176&u=1602267&m=91403&urllink=turboant%2Ecom%2Fproducts%2Fv8%2Ddual%2Dbattery%2Delectric%2Dscooter&afftrack=YouTube,turboantv8,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi2 Pro Short",https://shop.niu.com/collections/electric-scooter/products/niu-electric-kick-scooter-kqi2-pro?ref=eridehero,kqi2pro,"Electric Scooters",,AT:https://shopeu.niu.com/products/niu-electric-kick-scooter-kqi2-pro?ref=eridehero;BE:AT;BG:AT;HR:AT;CY:AT;CZ:AT;DK:AT;LV:AT;EE:AT;FI:AT;FR:AT;DE:AT;GR:AT;HU:AT;IE:AT;IT:AT;RO:AT;SK:AT;SI:AT;ES:AT;SE:AT;GB:AT;CA:https://shopca.niu.com/products/niu-electric-kick-scooter-kqi2-pro?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi3 Max short",http://eridehero.com/products/niu-kqi3-max/,kqi3max-2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Max G2",https://www.amazon.com/dp/B0C65CMKTK?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.270I59WTKJ959&linkCode=tr1&tag=haxho-20&linkId=amzn1.campaign.270I59WTKJ959_1727166048288,maxg2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Max G30P",http://eridehero.com/products/segway-ninebot-max/,maxg30,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Fluid Mosquito",http://eridehero.com/products/fluid-mosquito/,fluidmosquito,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Fluid Horizon",https://fluidfreeride.com/products/horizon-practical-allround-electric-scooter-for-commute?ref=26,fluidhorizon,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway G30P",http://eridehero.com/products/segway-ninebot-max/,segwayg30p,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi3 Pro",https://shop.niu.com/products/niu-electric-kick-scooter-for-adults-kqi3-pro?ref=eridehero,kqi3pro,"Electric Scooters",,AT:https://shopeu.niu.com/products/niu-kqi3-pro-electric-kick-scooter-eu-version?ref=eridehero;BE:AT;BG:AT;HR:AT;CY:AT;CZ:AT;DK:AT;EE:AT;FI:AT;FR:AT;DE:AT;GR:AT;HU:AT;IE:AT;IT:AT;LV:AT;LT:AT;LU:AT;MT:AT;NL:AT;PL:AT;PT:AT;RO:AT;SK:AT;SI:AT;ES:AT;SE:AT;GB:AT;CA:https://shopca.niu.com/collections/kick-scooter/products/niu-electric-kick-scooter-for-adults-kqi3-pro?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi3 Max",https://shop.niu.com/collections/electric-scooter/products/niu-kqi3-max-electric-kick-scooter-for-adults?ref=eridehero,kqi3max,"Electric Scooters",,DK:https://shopeu.niu.com/products/niu-kqi3-max-electric-kick-scooter-for-adults-eu-version?ref=eridehero;SE:DK;DE:DK;GB:DK;FR:DK;AT:DK;BE:DK;BG:DK;HR:DK;CY:DK;IE:DK;IT:DK;ES:DK;SI:DK;SK:DK;RO:DK;FI:DK;EE:DK;HU:DK;LV:DK;MT:DK;NL:DK;PL:DK;PT:DK;CZ:DK;GR:DK;CA:https://shopca.niu.com/collections/kick-scooter/products/niu-kqi3-max-electric-kick-scooter-for-adults?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Ninebot Max G2",http://eridehero.com/products/segway-ninebot-max-g2/,segwaymaxg2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi3 Pro",https://shareasale.com/r.cfm?b=1982358&u=1602267&m=123068&urllink=shop%2Eniu%2Ecom%2Fcollections%2Felectric%2Dscooter%2Fproducts%2Fniu%2Delectric%2Dkick%2Dscooter%2Dfor%2Dadults%2Dkqi3%2Dpro&afftrack=,niu-kqi3-pro,"Electric Scooters",,CA:https://shopca.niu.com/collections/kick-scooter/products/niu-electric-kick-scooter-for-adults-kqi3-pro?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Emove Cruiser S",https://www.voromotors.com/products/emove-cruiser?ref=eridehero,cruiser-s,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo Ghost",https://apolloscooters.co/products/apollo-ghost?sca_ref=229283.5uWLRLT8Fu&sca_source=youtube,apollo-ghost,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Kaabo Mantis V2",https://fluidfreeride.com/products/kaabo-mantis-v2-fluid-edition?ref=26,kaabo-mantis-v2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Varla Eagle One",https://varlascooter.com/products/varla-electric-scooter?sca_ref=3751983.vUFqJUoQDR&sca_source=youtube,varla-eagleone,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Ninebot MAX G2",https://www.amazon.com/dp/B0C65CMKTK?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.270I59WTKJ959&linkCode=tr1&tag=haxho-20&linkId=amzn1.campaign.270I59WTKJ959_1727166048288,segway-ninebot-max-g2,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo City Pro YouTube",https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,apollo-city-pro,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-city-24?sca_ref=9799635.O1zYedtKbH,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo City Pro 2023",http://eridehero.com/products/apollo-city-pro-2023/,apollo-city-pro-2023,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Splach Twin",https://splach.bike/products/splach-twin-a-premium-dual-motor-budget-electric-scooter?sca_ref=3650655.vBUMxX4TzM,splach-twin,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Lycaon GR 2021",https://www.lycaonboard.com/products/lycaon-gr,lycaon-gr-2021,"Electric Skateboards",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Backfire G2",https://shareasale.com/r.cfm?b=1446996&u=1602267&m=92892&urllink=www%2Ebackfireboards%2Ecom%2Fproducts%2Fbackfire%2Dg2%2Dblack%2Dwith%2Dsuper%2Dpower%2Dhobbywing%2Dmotors%2Dand%2D96mm%2Dwheels%2Dwith%2D180%2Ddays%2Dwarranty%2Despecially%2Dsuitable%2Dfor%2Dbeginners&afftrack=,g2,"Electric Skateboards",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Maxfind Max4 Pro",https://www.maxfindboards.com/products/electric-skateboard-max4-pro?sca_ref=193324.BcvErmxPy7,max4pro,"Electric Skateboards",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,"a:2:{s:6:""clicks"";i:0;s:11:""impressions"";i:1;}","a:1:{i:0;a:3:{s:4:""date"";s:10:""2023-08-29"";s:6:""clicks"";i:0;s:11:""impressions"";i:1;}}",,"2023-08-29 16:35:16"
"Apollo Phantom",https://apolloscooters.co/products/apollo-phantom-2023?sca_ref=229283.5uWLRLT8Fu&sca_source=YouTube,phantom,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-phantom-2023?sca_ref=229283.5uWLRLT8Fu&sca_source=YouTube;GB:https://www.rideandglide.co.uk/product/apollo-phantom-electric-scooter?ref=eridehero;DK:GB;SE:GB;IE:GB;BE:GB;FR:GB;ES:GB;NL:GB;IT:GB;PT:GB;NO:GB;PL:GB;CH:GB;FI:GB,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,"a:2:{s:6:""clicks"";i:0;s:11:""impressions"";i:1;}","a:1:{i:0;a:3:{s:4:""date"";s:10:""2023-09-26"";s:6:""clicks"";i:0;s:11:""impressions"";i:1;}}",,"2023-09-26 13:35:06"
